Neighborhood,Bar,Burger Joint,Café,Coffee Shop,French Restaurant,Italian Restaurant,Music Venue,Pizza Place,Restaurant,Total
Scheldebuurt Midden,0,0,5,1,0,3,0,1,1,11
Burgemeester Tellegenbuurt Oost,2,0,3,2,0,2,0,2,0,11
Bosleeuw,2,1,1,2,0,1,0,1,3,11
Marathonbuurt West,2,0,1,3,0,2,0,0,3,11
Cremerbuurt West,2,0,1,3,1,1,1,1,1,11
Hondecoeterbuurt,0,0,1,0,2,2,1,1,4,11
Westelijke eilanden,1,0,2,3,1,1,2,0,1,11
Rietlanden,1,0,2,3,0,1,0,1,3,11
Nieuwmarkt,2,1,1,3,1,1,1,0,1,11
Orteliusbuurt Noord,2,0,1,2,0,0,0,2,4,11
Bertelmanpleinbuurt,2,0,1,2,1,1,0,1,3,11
Willemsparkbuurt Noord,1,0,2,1,1,2,1,1,2,11
Oostenburg,1,0,3,1,0,1,1,0,4,11
Overhoeks,1,0,1,4,0,0,0,0,5,11
Valeriusbuurt West,2,0,1,2,1,1,0,1,3,11
Duivelseiland,0,1,1,2,3,1,1,1,0,10
Van Tuyllbuurt,2,0,1,2,0,2,0,0,3,10
Kazernebuurt,2,0,3,0,1,1,0,0,3,10
De Omval,0,0,1,4,2,2,0,0,1,10
Burgemeester Tellegenbuurt West,0,0,2,2,1,1,0,3,1,10
Oosterpark,2,1,2,2,1,2,0,0,0,10
Zuidwestkwadrant Indische buurt,1,1,1,2,0,2,1,0,2,10
Buyskade e.o.,1,0,0,3,1,1,0,1,2,9
Utrechtsebuurt Zuid,3,0,0,2,3,0,0,0,1,9
Kadijken,1,1,2,1,0,1,0,1,2,9
Erasmusparkbuurt Oost,3,1,1,2,0,0,0,2,0,9
Spaarndammerbuurt Midden,0,0,0,1,0,0,1,2,5,9
Westlandgrachtbuurt,2,1,3,1,0,1,0,0,1,9
Valeriusbuurt Oost,1,0,1,1,1,3,0,0,2,9
Bedrijvengebied Veelaan,2,0,0,2,1,2,0,0,2,9
Dapperbuurt Zuid,2,1,3,2,0,0,0,0,1,9
John Franklinbuurt,3,0,1,2,0,0,0,1,2,9
Gibraltarbuurt,2,0,1,2,0,1,0,1,2,9
Lootsbuurt,2,0,1,2,1,1,0,0,2,9
Filips van Almondekwartier,3,0,1,1,0,1,0,1,2,9
Mercatorpark,1,0,1,3,0,0,0,1,3,9
Oostpoort,2,2,2,1,0,1,0,0,0,8
Aalsmeerwegbuurt Oost,2,1,1,0,0,1,0,2,1,8
Rijnbuurt Oost,0,0,3,1,1,3,0,0,0,8
Marathonbuurt Oost,2,0,0,2,0,2,0,0,2,8
Pieter van der Doesbuurt,2,0,2,1,0,1,0,0,2,8
Orteliusbuurt Zuid,2,0,0,2,0,0,0,2,2,8
Alexanderplein e.o.,1,0,3,0,1,1,0,0,2,8
Rembrandtpark Noord,3,0,1,0,0,0,0,1,3,8
RAI,1,0,3,1,0,1,0,0,2,8
Robert Scottbuurt Oost,0,1,1,2,0,0,0,1,3,8
IJselbuurt West,1,0,2,2,1,1,0,1,0,8
Teleport,0,0,2,2,0,1,1,1,1,8
De Eenhoorn,0,0,1,2,1,2,0,1,1,8
Erasmusparkbuurt West,2,1,1,1,0,0,0,1,2,8
Trompbuurt,3,1,1,0,0,2,0,0,1,8
Jan Maijenbuurt,2,0,1,2,0,0,0,2,1,8
Balboaplein e.o.,3,0,1,1,0,0,0,1,2,8
Zeeheldenbuurt,1,0,1,2,2,0,0,0,2,8
IJplein e.o.,1,0,2,2,0,1,0,0,1,7
Van der Pekbuurt,0,0,2,2,0,1,0,0,2,7
Entrepot-Noordwest,0,0,1,1,1,1,0,0,3,7
Frederik Hendrikbuurt Zuidoost,0,0,0,3,0,3,0,1,0,7
Tuindorp Amstelstation,0,0,0,3,1,2,0,0,1,7
Noordoostkwadrant Indische buurt,1,0,1,3,0,0,0,1,1,7
Robert Scottbuurt West,0,1,1,1,0,0,0,1,3,7
Hoptille,0,0,1,3,0,0,0,1,2,7
Houthavens Oost,1,0,1,1,2,0,0,0,2,7
Zuidas Noord,0,1,0,3,1,2,0,0,0,7
Scheepvaarthuisbuurt,0,0,1,1,2,0,0,0,3,7
Julianapark,0,0,0,2,2,1,0,0,2,7
Hiltonbuurt,1,0,0,0,0,3,0,0,2,6
Aalsmeerwegbuurt West,2,1,1,0,0,1,0,0,1,6
Landlust Noord,1,0,1,2,0,0,0,1,1,6
Amsterdamse Poort,0,0,1,1,0,2,0,1,1,6
Van Brakelkwartier,1,0,0,0,1,0,0,1,3,6
Frankendael,1,0,0,1,3,0,0,0,1,6
Gelderlandpleinbuurt,0,0,0,2,1,0,0,0,3,6
Olympisch Stadion e.o.,0,0,1,2,0,0,0,0,3,6
Bedrijvengebied Zeeburgerkade,1,0,1,3,0,0,0,0,1,6
Andreasterrein,2,0,1,1,0,1,0,0,1,6
Bedrijventerrein Landlust,1,0,1,2,0,0,0,1,1,6
NDSM terrein,1,0,1,0,0,0,0,1,3,6
Middenmeer Noord,1,0,0,1,2,1,0,0,1,6
