,Venue,Venue Latitude,Venue Longitude,Venue Category
13050,The Kitchen at Student Hotel,52.37214911738466,4.836109699791302,Restaurant
13056,Bakery Café Millennium Tower,52.3933452213734,4.837059443215565,Coffee Shop
13059,Krantcafe TMG HQ,52.39219118488217,4.834304328384002,Café
13061,The Box - Amsterdam,52.3902892,4.8253359,Music Venue
13089,Bakery Café Millennium Tower,52.3933452213734,4.837059443215565,Coffee Shop
13090,Starbucks,52.389066266752856,4.83764576907052,Coffee Shop
13091,Koffie Academie,52.388492,4.836294,Café
13092,Marmaris Grill & Pizza,52.388104915528814,4.837224520943182,Pizza Place
13098,Krantcafe TMG HQ,52.39219118488217,4.834304328384002,Café
13099,Adam's ID,52.387339,4.834513,Restaurant
13100,Julia's,52.38904172764405,4.837750749701973,Italian Restaurant
13110,The Box - Amsterdam,52.3902892,4.8253359,Music Venue
13116,Helder,52.347995980752586,4.84747628307851,Restaurant
13118,The Happy Bull,52.35105957432971,4.851467610485115,Burger Joint
13126,Lokaal Van De Stad,52.35170605004509,4.846059488798338,Bar
13128,Lunchroom Grannies,52.350854,4.849708,Café
13129,Foodbar 63 Graden,52.35276733958988,4.847958683967589,Italian Restaurant
13133,The Magpie,52.34942447808715,4.848860724751284,Bar
13147,Spuntino,52.35100674548903,4.8546042056706655,Pizza Place
13149,Domino's Pizza,52.35058442658978,4.849259273702046,Pizza Place
13155,Atelier,52.342194744701324,4.844362973022882,Restaurant
13162,Jefferson Bar Brasserie,52.340268653564976,4.844127484252273,Restaurant
13163,Oliver's Crazy Kitchen,52.34077077041221,4.844394826065013,Italian Restaurant
13171,Van Mechelen,52.352715073628204,4.852483621593803,Café
13176,De Vondeltuin,52.3548451246037,4.856622235165732,Restaurant
13177,OCCII,52.35436312611813,4.855535332944741,Music Venue
13180,Dignita Restaurant,52.351773951293886,4.857267008341895,Café
13183,Ron Gastrobar,52.35209289158123,4.856696307003784,Restaurant
13185,SOTTO - Pizza Legàle,52.3528900195878,4.8561415469808535,Pizza Place
13186,Scottadito Specialita,52.35299722936886,4.856179434060544,Italian Restaurant
13189,Caffènation,52.35480430326035,4.849351904199482,Coffee Shop
13190,Café Schinkelhaven,52.354727780664405,4.855274355775692,Café
13191,Café Bedier,52.35235926684255,4.856600272087335,Bar
13192,The Happy Bull,52.35105957432971,4.851467610485115,Burger Joint
13193,Anne&Max,52.352007359219954,4.856219892427335,Coffee Shop
