,Venue,Venue Latitude,Venue Longitude,Venue Category
8612,Bouf,52.35546477045676,4.880450998430573,Restaurant
8613,En Pluche,52.35417217896018,4.883246771491038,Bar
8614,Het Concertgebouw Café,52.355872,4.878307599999999,Café
8616,Small Talk,52.35801829721919,4.878801739863029,Restaurant
8617,Brasserie Keyzer,52.356795,4.879243,Restaurant
8620,Café Lusthof,52.355013312611206,4.880752651723244,Bar
8621,Rookruimte Artiestenfoyer,52.35638521319517,4.8788305655785695,Café
8624,CoffeeConcepts,52.35767145028302,4.874214631880926,Coffee Shop
8629,Vondelpark3,52.360792663046425,4.874918850779606,Restaurant
8631,Brandmeester's,52.35969117987648,4.87754245247178,Coffee Shop
8633,Gollem's Proeflokaal,52.362205713069194,4.873079719694746,Bar
8638,Koffie Academie,52.362548251671626,4.874659680221923,Café
8641,Conservatorium Brasserie & Lounge,52.35860584260839,4.879009585292059,French Restaurant
8643,The Avocado Show,52.356026,4.871119,Restaurant
8649,de Pizzabakkers,52.355823,4.870039,Italian Restaurant
8650,Willems,52.3559439312729,4.870631410324487,French Restaurant
8654,Restaurant DI Bruno,52.35610220948215,4.8711111130668705,Restaurant
8655,Le 4 Stagioni,52.355546,4.875381,Pizza Place
8661,Valerius Eten & Drinken,52.355389655974335,4.873670468435905,Restaurant
8666,Starbucks,52.362950965305174,4.87581528527778,Coffee Shop
8672,Brasserie De Joffers,52.35588929962068,4.870831865630191,Café
8673,Blushing,52.35873220517341,4.880266378448075,Coffee Shop
8674,Restaurant Oud-Zuid,52.355078184029715,4.874046454445445,Restaurant
8677,Het Concertgebouw Café,52.355872,4.878307599999999,Café
8678,Sardegna,52.355359,4.871358,Italian Restaurant
8681,Rookruimte Artiestenfoyer,52.35638521319517,4.8788305655785695,Café
8685,Marathonweg Restaurant,52.3485413,4.8609847,Restaurant
8686,Café Kiebêrt,52.348517620447645,4.860628099954581,Bar
8688,Dignita Restaurant,52.351773951293886,4.857267008341895,Café
8689,Jose Mollura,52.348524776013534,4.85758678861893,Coffee Shop
8696,Ron Gastrobar,52.35209289158123,4.856696307003784,Restaurant
8701,Anne&Max,52.352007359219954,4.856219892427335,Coffee Shop
8702,Café Bedier,52.35235926684255,4.856600272087335,Bar
